ssvid,eez,year,flag_iso3,fishing_hours,eez_iso3
412420276,8483,2019,CHN,0.07472222222222222,MYS
412420276,8432,2019,CHN,2.2647222222222223,PER
416000702,NA,2022,TWN,3044.0727722222227,high_seas
416000702,8321,2022,TWN,0.0938888888888889,TWN
416003684,8316,2019,TWN,3.217777777777778,FSM
416003684,NA,2019,TWN,1030.0305555555556,high_seas
416003684,8315,2019,TWN,2223.1480555555554,PLW
412460113,8486,2022,CHN,3.699486111111111,CHN
412460113,8487,2022,CHN,9.5931,JPN
412460113,8316,2022,CHN,668.7597234608334,FSM
412460113,8327,2022,CHN,244.0007888888889,KOR
412460113,8446,2022,CHN,837.6600438888894,NZL
412460113,NA,2022,CHN,106.98083333333332,high_seas
431500880,8487,2015,JPN,474.4980555555556,JPN
431500880,NA,2015,JPN,977.8044444444444,high_seas
431680360,8315,2017,JPN,1892.363333333333,PLW
431680360,NA,2017,JPN,32.209722222222226,high_seas
431680470,8487,2020,JPN,496.6780555555556,JPN
431680470,NA,2020,JPN,1134.421388888889,high_seas
431501646,8315,2019,JPN,549.1397222222223,PLW
431501646,8487,2019,JPN,165.8963888888889,JPN
431501646,NA,2019,JPN,358.77111111111105,high_seas
416003009,8321,2020,TWN,2.5502777777777776,TWN
416003009,8322,2020,TWN,27.256944444444443,PHL
416003009,NA,2020,TWN,1589.004722222222,high_seas
416002251,8343,2016,TWN,6.125555555555556,MUS
416002251,8338,2016,TWN,1.05,FRA
416002251,8348,2016,TWN,1267.2477777777776,MDG
416002251,NA,2016,TWN,2946.7305555555554,high_seas
412467334,8318,2019,CHN,2908.9541666666664,MHL
412467334,NA,2019,CHN,42.474999999999994,high_seas
412467334,8316,2019,CHN,1924.760555555556,FSM
431602750,8487,2024,JPN,310.37388888888887,JPN
431002995,8487,2017,JPN,4.100555555555555,JPN
431002995,8315,2017,JPN,943.423611111111,PLW
431866000,8488,2022,JPN,9.148333333333326,KIR
431866000,8324,2022,JPN,69.23361111111117,PNG
431866000,8487,2022,JPN,18.578027777777777,JPN
431866000,8314,2022,JPN,4.285833333333333,SLB
431866000,8316,2022,JPN,1.9172638888888882,FSM
200016052,8322,2019,NA,5.585833333333333,PHL
200016052,8492,2019,NA,18.196111111111108,IDN
200016052,8315,2019,NA,37.32472222222223,PLW
200016052,8316,2019,NA,1542.2622222222221,FSM
200016052,NA,2019,NA,1842.6855555555553,high_seas
416000702,NA,2019,TWN,3271.591111111112,high_seas
416000702,8315,2019,TWN,0.016666666666666666,PLW
412420276,NA,2022,CHN,3629.8402096213877,high_seas
