shapley_value,observed_data,variable_name_code,variable_name
-0.10419933828735763,-138,lon,Longitude
-0.33005606896887063,-54,lon,Longitude
0.01899117389996398,11,lon,Longitude
0.34418950339854115,148,lon,Longitude
-0.22556602709290813,-12,lon,Longitude
0.2715002917238081,68,lon,Longitude
-0.4787177593910518,-32,lon,Longitude
-0.2176209514519448,-9,lon,Longitude
-0.0797412721990395,-43,lon,Longitude
-0.24564476044566594,-114,lon,Longitude
-0.04539881320362363,-17,lon,Longitude
-0.13493125341097437,7,lon,Longitude
0.6545528504206476,68,lon,Longitude
-0.3624748957130591,-124,lon,Longitude
-0.05472531931299517,-115,lon,Longitude
0.2588374944448111,51,lon,Longitude
-0.15181759111671642,-103,lon,Longitude
-0.03891238886536021,-62,lon,Longitude
0.17816986075111846,12,lon,Longitude
0.2229610514004709,162,lon,Longitude
-0.12428498224355049,-95,lon,Longitude
0.04941502122039371,89,lon,Longitude
0.48638684895515155,151,lon,Longitude
-0.17253244209710034,-32,lon,Longitude
-0.41492744629944195,-61,lon,Longitude
-0.06481866740792418,-86,lon,Longitude
0.07063367433631224,131,lon,Longitude
-0.15990835916753737,-160,lon,Longitude
0.39876501739755676,40,lon,Longitude
-0.036617124806613666,-94,lon,Longitude
-0.05581628033439917,-47,lon,Longitude
-0.21222843443981462,-124,lon,Longitude
-0.12494042842628138,-142,lon,Longitude
-0.20260781434666367,-59,lon,Longitude
-0.5919936162944519,-141,lon,Longitude
0.0781199909310713,44,lon,Longitude
-0.08872585412679203,-27,lon,Longitude
-0.07390809294892957,-19,lon,Longitude
-0.09504041882649802,167,lon,Longitude
-0.14232598509480374,-162,lon,Longitude
0.045651991845393564,179,lon,Longitude
-0.18454520309379951,-62,lon,Longitude
-0.01032882751870768,27,lon,Longitude
0.11603501736490866,123,lon,Longitude
0.04012138509381797,-162,lon,Longitude
0.20128285738200596,157,lon,Longitude
-0.5277738443436428,-26,lon,Longitude
-0.08478497654601662,-178,lon,Longitude
-0.46286096511913144,93,lon,Longitude
0.48382602915707823,56,lon,Longitude
0.0793187701114922,-10,lon,Longitude
-0.08369620410287137,-75,lon,Longitude
0.5398373912501186,138,lon,Longitude
-0.25477429028314763,-93,lon,Longitude
0.411410441508142,50,lon,Longitude
0.39834469464125266,133,lon,Longitude
0.28937209367537337,48,lon,Longitude
-0.24665967145385298,104,lon,Longitude
-0.18013930528213523,-44,lon,Longitude
-0.09540258347736663,-75,lon,Longitude
-0.051056874630774775,-21,lon,Longitude
-0.015544108967286434,-20,lon,Longitude
-0.46918637855830575,86,lon,Longitude
0.16904434504603616,160,lon,Longitude
0.25797046811046126,37,lon,Longitude
-0.1558581679245271,-66,lon,Longitude
